gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,33.58,1931.09,0
Male,0,Yes,No,21,No,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,79.53,1686.99,1
Male,0,No,No,48,Yes,No,DSL,Yes,Yes,No,No,No internet service,No,Two year,No,Mailed check,61.11,2953.35,0
Female,0,No,Yes,58,No,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.56,5410.34,1
Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),21.77,930.49,0
Male,0,Yes,No,59,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),50.14,3034.45,0
Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.13,983.88,1
Male,0,Yes,No,61,No,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),71.28,4310.31,0
Male,1,Yes,No,61,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.82,5470.74,1
Male,0,Yes,No,46,Yes,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),42.56,1982.81,0
Male,0,No,No,61,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.96,3444.27,0
Female,1,No,No,50,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,85.22,4279.2,0
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),18.0,960.22,0
Female,1,Yes,No,63,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,One year,No,Electronic check,81.55,5151.51,0
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,92.92,159.06,0
Male,0,Yes,Yes,50,No,No,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,29.99,1463.96,1
Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,60.55,313.49,1
Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,114.78,2246.31,0
Male,0,Yes,No,38,No,No,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,89.79,3438.54,0
Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,83.41,1404.51,0
Male,0,Yes,No,3,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),99.73,265.12,1
Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,124.14,7256.16,0
Female,0,Yes,Yes,13,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),70.56,950.83,0
Male,1,No,Yes,8,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),57.78,515.73,1
Female,0,Yes,Yes,52,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,99.66,5131.11,0
Male,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),64.38,58.15,0
Female,1,No,No,59,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,42.16,2440.81,0
Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,One year,Yes,Mailed check,53.8,3758.91,0
Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Mailed check,79.37,3443.31,0
Male,0,Yes,No,7,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,No,One year,No,Bank transfer (automatic),56.51,476.49,0
Female,0,No,Yes,46,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),58.75,2680.15,1
Male,1,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),39.18,1367.12,1
Female,1,Yes,No,35,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),113.06,3993.32,0
Male,0,No,No,49,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),59.72,2918.72,0
Female,0,No,No,3,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.65,203.95,1
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,51.85,35.46,0
Female,1,No,No,5,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,One year,No,Credit card (automatic),94.08,492.17,0
Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Electronic check,87.2,4592.92,1
Male,0,No,No,3,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),54.94,191.4,1
Male,0,No,No,53,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.97,3782.97,1
Female,0,Yes,No,62,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,No,Mailed check,78.3,4913.97,0
Female,1,No,No,17,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),48.88,922.74,0
Female,0,No,Yes,43,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),23.78,1068.33,1
Male,0,No,No,33,Yes,No,No,Yes,No,Yes,No,No,No,Two year,No,Mailed check,85.45,2853.38,0
Female,0,No,No,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,50.54,3063.41,0
Female,0,No,No,13,No,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.21,968.45,1
Male,0,Yes,No,47,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.63,3807.53,0
Female,0,Yes,Yes,14,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.67,1096.19,1
Male,0,No,No,71,Yes,No,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,57.22,4078.27,0
Female,0,No,No,61,No,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),50.98,3059.47,0
Male,0,No,No,39,Yes,No,No,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),35.85,1467.04,0
Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),51.56,2736.37,0
Male,0,Yes,No,23,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),87.06,1900.51,0
Male,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),111.93,2805.27,0
Male,0,Yes,No,59,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,107.53,6356.41,0
Male,0,No,No,40,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.36,2894.18,1
Female,0,Yes,No,28,No,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,111.92,3079.82,0
Male,0,No,No,14,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,60.8,905.78,0
Female,1,No,No,44,Yes,No,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),31.27,1379.37,0
Male,0,No,No,64,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),127.63,8120.82,0
Male,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.98,5985.13,0
Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,23.96,131.62,1
Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),116.77,0.0,1
Female,0,No,Yes,7,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,47.7,371.52,0
Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),54.22,3420.47,1
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,100.64,973.0,1
Male,0,No,No,7,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,110.85,758.26,1
Female,0,Yes,No,34,Yes,Yes,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,39.98,1384.38,0
Female,0,Yes,No,34,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,114.13,3928.05,0
Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.23,3097.9,1
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),46.01,247.42,0
Male,0,Yes,No,40,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.62,2595.65,0
Male,0,Yes,No,27,Yes,No,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,115.48,3036.46,0
Male,0,No,No,6,Yes,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),23.18,215.03,0
Male,0,No,No,71,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,111.42,7975.75,0
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),95.39,990.51,0
Female,1,No,Yes,33,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,One year,No,Bank transfer (automatic),85.27,2837.1,1
Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,One year,Yes,Electronic check,73.95,2398.2,1
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),129.1,6013.21,0
Male,0,No,No,22,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),133.54,2934.83,0
Male,0,Yes,Yes,61,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.54,3151.76,0
Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),88.37,3127.32,0
Male,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,126.23,5410.94,0
Female,1,Yes,No,34,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,46.45,1649.36,1
Female,0,No,Yes,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.29,5030.73,0
Female,0,No,Yes,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.12,4550.34,1
Male,0,No,Yes,2,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,One year,No,Mailed check,18.0,-97.24,1
Female,0,No,No,0,No,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),94.86,0.0,1
Female,0,Yes,No,4,Yes,Yes,No,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),37.35,240.52,0
Male,0,Yes,No,13,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),75.77,1028.85,0
Male,0,Yes,No,26,Yes,No,No,No,No,No internet service,No,Yes,No,One year,No,Electronic check,104.33,2698.23,0
Female,0,No,No,8,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.0,89.81,0
Male,0,No,No,14,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No,Two year,Yes,Mailed check,93.58,1340.96,0
Female,0,Yes,Yes,41,No,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,131.15,5429.88,1
Female,0,No,Yes,50,Yes,No,DSL,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,54.0,2667.01,0
Female,0,Yes,No,62,No,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),87.3,5426.35,0
Female,0,No,No,51,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),110.06,5591.32,1
Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,No,Mailed check,22.21,104.33,1
Male,1,Yes,No,22,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,92.72,1936.9,1
Male,1,Yes,Yes,14,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.71,1429.77,1
Male,1,Yes,No,42,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,89.16,3726.42,0
Female,0,Yes,Yes,28,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,72.6,2124.4,0
Female,0,No,No,35,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),39.99,1415.25,0
Male,0,No,No,12,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),111.74,1376.27,0
Male,0,No,No,31,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,71.04,2155.08,0
Male,0,No,No,70,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),42.88,2990.53,0
Female,0,Yes,Yes,58,No,Yes,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.46,3526.41,1
Male,0,No,Yes,27,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,81.05,2170.38,0
Male,0,Yes,No,65,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Mailed check,23.16,1493.29,0
Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),70.54,2905.29,0
Male,0,Yes,No,44,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,57.49,2443.9,0
Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),110.08,6688.66,1
Female,0,Yes,No,56,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),18.0,1047.44,0
Female,1,Yes,No,5,Yes,No,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Mailed check,98.16,471.12,0
Male,0,Yes,Yes,27,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,112.51,3154.6,1
Female,1,No,No,27,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),18.0,490.54,1
Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),18.48,702.04,1
Male,0,Yes,No,29,No,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,123.58,3606.01,0
Male,1,Yes,Yes,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,42.87,2562.27,0
Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),162.84,9950.24,1
Female,0,No,No,0,No,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Electronic check,18.0,0.0,0
Female,0,No,No,26,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Two year,No,Bank transfer (automatic),75.1,1927.63,0
Female,0,Yes,No,61,Yes,No,DSL,Yes,No,Yes,No internet service,No,No,One year,No,Mailed check,69.3,4279.06,0
Male,0,No,No,2,No,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),63.75,48.33,0
Male,0,Yes,No,69,No,Yes,No,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.89,5764.15,1
Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),85.62,6049.17,0
Female,0,No,No,26,Yes,No,No,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),64.97,1756.07,0
Male,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),39.57,299.11,1
Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,101.43,6140.15,1
Male,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,88.84,3209.8,1
Female,0,No,No,50,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,73.44,3627.29,0
Male,0,Yes,No,43,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,87.89,3741.8,0
Male,0,Yes,No,23,Yes,No,No,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,93.07,2175.12,1
Female,1,No,Yes,58,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),47.15,2591.4,0
Female,0,Yes,No,31,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,One year,No,Bank transfer (automatic),86.82,2643.22,0
Male,0,Yes,No,51,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.41,2690.07,1
Male,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),94.06,5814.92,1
Female,0,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),64.23,3683.38,0
Female,1,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),88.35,4504.26,0
Female,0,No,No,11,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,56.99,621.73,0
Male,1,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),89.91,3422.75,1
Female,1,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),40.64,52.92,1
Male,0,Yes,No,2,Yes,No,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),71.09,148.46,0
Female,1,Yes,No,55,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.42,5565.43,1
Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),84.02,4851.2,0
Male,0,No,No,1,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.76,84.48,0
Female,0,No,No,1,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,One year,No,Mailed check,124.11,126.01,0
Female,0,Yes,No,53,Yes,No,No,No,No internet service,No,No,No,Yes,One year,Yes,Electronic check,100.71,5384.59,0
Male,1,No,Yes,0,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),95.67,0.0,1
Female,0,No,No,18,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,89.74,1596.98,0
Male,0,No,Yes,1,No,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,93.48,17.9,1
Male,0,Yes,No,52,No,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),119.71,6274.27,0
Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),57.47,2395.07,0
Male,0,No,No,31,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),100.28,3135.66,0
Female,0,No,No,69,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),80.69,5651.66,0
Male,0,Yes,No,31,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),58.51,1910.1,1
Male,1,No,No,67,Yes,No,No,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),67.01,4474.37,0
Female,0,Yes,No,54,Yes,No,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),76.57,4117.49,0
Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),44.2,2427.29,0
Male,0,Yes,Yes,16,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,95.92,1579.76,0
Male,0,No,Yes,37,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),66.91,2469.07,0
Female,0,No,Yes,23,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Two year,No,Electronic check,72.55,1654.96,0
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,One year,Yes,Mailed check,110.72,7582.6,1
Male,0,No,Yes,69,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,One year,Yes,Mailed check,73.89,5100.59,0
Male,0,No,No,10,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,116.58,1158.15,0
Male,0,No,No,15,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,54.26,770.09,0
Female,1,Yes,Yes,58,Yes,No phone service,No,No,No,No,No,No,No internet service,One year,Yes,Electronic check,37.09,2202.57,0
Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,61.3,4242.05,0
Male,0,No,No,2,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,Yes,Electronic check,18.0,35.41,0
Female,0,No,No,19,Yes,No,DSL,No,No,No,No,No,No internet service,One year,No,Electronic check,97.17,1753.13,0
Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),38.83,2299.86,0
Male,0,No,No,35,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),51.47,1744.74,0
Female,1,Yes,No,18,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,91.49,1669.42,1
Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.57,4816.69,0
Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,56.78,968.39,1
Female,0,Yes,No,19,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,18.0,388.41,0
Female,0,No,No,70,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,109.02,7636.48,1
Female,1,No,Yes,51,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),91.69,4678.24,0
Male,0,Yes,No,32,Yes,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,131.67,4310.97,1
